REF_AREA,is_oecd_member,is_aggregate_area,sample_scope,stem_women_share,coding_gap_youth_M_minus_F,labour_force_participation_gap_M_minus_F,gender_wage_gap_median,part_time_employment_gap_F_minus_M,women_senior_middle_mgmt_share,stem_women_share_year,coding_gap_youth_M_minus_F_year,labour_force_participation_gap_M_minus_F_year,gender_wage_gap_median_year,part_time_employment_gap_F_minus_M_year,women_senior_middle_mgmt_share_year,latest_year_min,latest_year_max,latest_year_span
DNK,True,False,OECD member,36.3680084643871,14.204099999999999,8.131,3.3351996694,9.626037488001996,33.12,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
ESP,True,False,OECD member,27.4984381146308,18.290100000000002,8.155999999999999,6.7395907055,12.427251534813472,36.67,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
EST,True,False,OECD member,41.5457041977246,7.520500000000002,4.923999999999992,19.77020627,5.542879711387393,31.51,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
EU19OECD,False,True,aggregate area,,,9.324999999999996,9.22739405809474,18.33818799730072,,,,2025.0,2024.0,2025.0,,2024.0,2025.0,1.0
EU22OECD,False,True,aggregate area,,,9.475999999999999,,15.938540767249048,,,,2025.0,,2025.0,,2025.0,2025.0,0.0
EU25,False,True,aggregate area,33.0792630713442,,,,,,2023.0,,,,,,2023.0,2023.0,0.0
EU27,False,True,aggregate area,,9.752599999999997,9.868999999999993,8.47776116052222,15.053973226399501,,,2025.0,2025.0,2024.0,2025.0,,2024.0,2025.0,1.0
EU28,False,False,non-member / partner / candidate,,11.036000000000001,,,,,,2019.0,,,,,2019.0,2019.0,0.0
FIN,True,False,OECD member,34.1434914699696,16.142500000000002,4.590999999999994,13.101117754,7.223968044230718,40.45,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
FRA,True,False,OECD member,34.4658572387303,5.8413,6.198,6.5789084443,11.484718119012266,38.72,2023.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
G7,False,True,aggregate area,,,9.899000000000001,,12.891057804349135,,,,2025.0,,2025.0,,2025.0,2025.0,0.0
GBR,True,False,OECD member,35.2366845830923,19.0346,7.542999999999992,13.138497349,19.28142688552407,39.46,2024.0,2019.0,2025.0,2024.0,2025.0,2023.0,2019.0,2025.0,6.0
GRC,True,False,OECD member,41.6826587578507,-0.37139999999999995,14.942999999999998,7.5902726603,7.049039063499901,31.36,2024.0,2025.0,2025.0,2022.0,2025.0,2023.0,2022.0,2025.0,3.0
HRV,False,False,non-member / partner / candidate,38.3308075340983,7.711899999999998,7.768000000000008,5.0406504065,2.000880767987895,,2022.0,2025.0,2025.0,2022.0,2025.0,,2022.0,2025.0,3.0
